id,Company_name,Drug_company,Drug_name,Quantity
1,Youtags,REMEDYREPACK INC.,Metronidazole,99
2,Buzzdog,Reckitt Benckiser LLC,Clearasil Ultra Rapid Action,47
3,Edgewire,AKG Innovations LLC,Moisturizing Lip BalmSPF30,15
4,Thoughtblab,West-ward Pharmaceutical Corp.,Diphenhydramine Hydrochloride,71
5,Flashpoint,Pfizer Laboratories Div Pfizer Inc,Tussigon,23
6,Zoomlounge,"New World Imports, Inc",Sennosides,90
7,Yakijo,Ranbaxy Pharmaceuticals Inc.,Glycopyrrolate,47
8,Wordify,American Health Packaging,Losortan Potassium,2
9,Riffpath,"Matrixx Initiatives, Inc.",Zicam,3
10,Brainlounge,Wockhardt Limited,Midazolam hydrochloride,61
11,Linktype,"Amercare Products, Inc",AMERFRESH ANTIPERSPIRANT DEODORANT,73
12,JumpXS,Sunovion Pharmaceuticals Inc.,Latuda,31
13,Innojam,Apotheca Company,Platinum for Women,99
14,Abatz,"Pacific Pharma, Inc.",POLYMYXIN B SULFATE and TRIMETHOPRIM SULFATE,26
15,Skyble,"Paddock Laboratories, LLC",EZ Char,51
16,Trilith,Heel Inc,Varicose Relief,23
17,Tazz,Avema Pharma Solutions,Mucus Relief,4
18,Realpoint,"Praxair Distribution, Inc.",Helium Oxygen mixture,52
19,Skimia,WOCKHARDT LIMITED,AZITHROMYCIN,94
20,Topicshots,"Patterson Dental Supply, Inc.",Mepivacaine,95
21,Vipe,"Natural Creations, Inc.",SNORING HP,50
22,Jayo,Western Family Foods Inc,all day relief,21
23,Fanoodle,"Upsher-Smith Laboratories, Inc.",Klor-Con,73
24,Topicshots,Contract Pharmacy Services-PA,Furosemide,33
25,Topicstorm,Bryant Ranch Prepack,Metaxalone,28
26,Flashset,Laboratoires Clarins S.A.,CLARINS Age-Control Hand SPF 15,24
27,Jazzy,Sanum Kehlbeck GmbH & Co. KG,Pleo Alb,60
28,Bubbletube,"Avon Products, Inc",Beyond Color,31
29,Wordpedia,"Koh Gen Do USA, Inc",Koh Gen Do Maifanshi UV Face Powder,79
30,Dazzlesphere,"Prime Enterprises, Inc.",Australian Gold,59
31,Cogidoo,Cardinal Health,Cardinal Health Antimicrobial Soap with Triclosan,83
32,Quimba,"Breckenridge Pharmaceutical, Inc.",OXCARBAZEPINE,62
33,Thoughtbeat,"Poly Pharmaceuticals, Inc.",POLY HIST,16
34,Eare,Cardinal Health,leader acid control,75
35,Zava,"Alcon Laboratories, Inc.",IOPIDINE,44
36,Mybuzz,"Allermed Laboratories, Inc.",Winterfat Pollen,99
